content,title,url,genre,period,specific_genre,author
"... Không phải gặp em từ buổi ấy<
>Hình như gặp em từ ngàn xưa<
>Lòng em thương anh không có bến<
>Tình anh yêu em không có bờ<
>Viết viết có đến nghìn trang giấy<
>Làm ra có đến nghìn bài thơ<
>Tương tư một đêm năm canh chẵn<
>Nhớ nhung một ngày mười hai giờ.",Ái Khanh Hành,https://isach.info/poem.php?poem=ai_khanh_hanh__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Hai ta lưu lạc phương Nam này<
>Đã mấy mùa qua én nhạn bay<
>Xuân đến khắp trời hoa rượu nở<
>Riêng ta với ngươi buồn vậy thay!<
>Lòng đắng xá chi muôn hớp rượu<
>Mà không uống cạn mà không say!<
>Lời thề buổi ấy cầu Tư Mã<
>Mà áo khinh cừu chưa ai may!<
>Ngươi giam chi khí vòng cơm áo<
>Ta trói thân vào lụy nước mây<
>Ai biết thương nhau từ buổi trước<
>Bây giờ gặp nhau trong phút giây<
>Nợ thế, trả chưa tròn một món<
>Sòng đời, thua đến trắng hai tay<
>Quê nhà xa lắc xa lơ đó<
>Ngoảnh lại tha hồ mây trắng bay<
>Tâm giao mấy kẻ thì phương Bắc<
>Ly tán vì cơn gió bụi này Người ơi!<
>Buồn lắm mà không khóc<
>Mà vẫn cười qua chén rượu đầy<
>Vẫn dám ăn tiêu cho đến hết<
>Ngày mai ra sao rồi sẽ hay<
>Ngày mai, có nghĩa gì đâu nhỉ?<
>Cốt nhất cười vui trọn tối nay<
>Rẫy ruồng châu ngọc, thù son phấn<
>Mắt đỏ lên rồi, cứ chết ngay.<
>Hỡi ơi ! Nhiếp Chính mà băm mặt<
>Giữa chợ ai người khóc nhận thây?",Bài Hành Phương Nam,https://isach.info/poem.php?poem=bai_hanh_phuong_nam__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Những cuộc chia lìa khởi từ đây<
>Cây đàn sum họp đứt tuôn dây<
>Những lời bèo bọt, thân đơn chiếc<
>Lần lượt theo nhau suốt tháng ngày<
>Có lần tôi thấy hai cô bé<
>Sát má vào nhau khóc sụt sùi<
>Hai bóng chung lưng thành một bóng<
>- Đường về nhà chị chắc xa xôi<
>Có lần tôi thấy một người yêu<
>Tiễn một người yêu một buổi chiều<
>Ở một ga nào xa vắng lắm<
>Họ cầm tay họ bóng xiêu xiêu<
>Hai chàng tôi thấy tiễn đưa nhau<
>Kẻ ở sân ga kẻ cuối tàu<
>Họ giục nhau về ba bốn bận<
>Bóng nhòa trong bóng tối từ lâu<
>Có lần tôi thấy vợ chồng ai<
>Thèn thẹn chia tay bóng chạy dài<
>Chị mở khăn trầu anh thắt lại<
>- Mình về nuôi lấy mẹ, mình ơi!<
>Có lần tôi thấy một bà già<
>Đưa tiễn con đi một chốn xa<
>Tàu chạy lâu rồi bà vẫn đứng<
>Lưng còng đổ bóng xuống sân ga<
>Có lần tôi thấy một người đi<
>Chẳng biết về đâu nghĩ ngợi gì<
>Chân bước hững hờ theo bóng lẻ<
>Một mình làm cả cuộc phân ly<
>Những chiếc khăn màu thổn thức bay<
>Những bàn tay vẫy những bàn tay<
>Những đôi mắt ướt nhìn đôi mắt<
>Buồn ở đâu hơn ở chốn này<
>Tôi đã từng chờ những chuyến xe<
>Đã từng đưa đón kẻ đi về<
>Sao nhà ga ấy sân ga ấy<
>Chỉ để cho lòng dấu biệt ly",Bóng Người Trên Sân Ga,https://isach.info/poem.php?poem=bong_nguoi_tren_san_ga__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Xê lại gần đây, xích lại gần đây!<
>Lại đây cho mẹ nhủ câu này:<
>Mẹ không muốn thế nhưng mà nghĩ<
>Bấy lâu mẹ đã nhiều đắng cay.<
>Kể con cũng đã lớn khôn rồi,<
>Chín suối cha con hẳn ngậm cười.<
>Mẹ muốn bước thêm một bước nữa,<
>Còn đàn em nhỏ cậy con nuôi.<
>Con ơi! mẹ khóc suốt đêm kia,<
>Khóc suốt đêm qua nữa, chỉ vì...<
>Con mẹ có còn thương mẹ dại<
>Thì con gái mẹ nhận lời đi!<
>Mẹ cũng không mong sướng lấy mình,<
>Nhưng mà số phận bắt điêu linh.<
>Vả chăng thiên hạ nào riêng mẹ,<
>Gái góa qua đò uổng tiết trinh.<
>Mai mốt... con ơi! Mẹ lấy chồng,<
>Chúng con coi mẹ có như không.<
>Khuya rồi đấy nhỉ! Con đi nghỉ,<
>Gió bấc đêm nay lạnh ngập phòng",Bước Thêm Bước Nữa,https://isach.info/poem.php?poem=buoc_them_buoc_nua__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Sông Ngân nước chảy hững hờ<
>Ngưu Lang ngồi khóc bên bờ sông Ngân<
>Một nǎm gặp được mấy lần!<
>Anh khổ vô ngần Chức Nữ em ơi!<
>Đôi ta chẳng hợp lòng trời<
>Một dòng nước bạc ngǎn đôi chung tình<
>Chẳng cho liền cánh liền cành<
>Đày em trên ấy, đọa anh dưới này.<
>Lạc loài đôi lứa thơ ngây<
>Một nǎm sống để một ngày gặp nhau.<
>Đôi ta có tội gì đâu<
>Cớ sao chim chẳng bắc cầu cho qua?<
>Có chǎng tội với Trời già<
>Chẳng qua là tội đôi ta chung tình.<
>Dây oan mình buộc lấy mình<
>Con sông bất bình chảy mãi về xuôi...<
>Bao giờ Chức Nữ em ơi!<
>Cho giời nghĩ lại, cho giời quay đi!<
>Xuân xanh để lỗi một thì<
>Anh là bướm dại yêu gì được hoa!<
>Mênh mang một dải Ngân hà<
>Tình sao không phụ mà ra phụ tình!<
>Con tằm là lụy ba sinh<
>Mà em là lụy của anh muôn đời<
>Em là con gái nhà trời<
>Còn anh con cái nhà người thường dân<
>Yêu em có vạn có ngàn<
>Nhưng cha chẳng chứng cho bàn tay không!<
>Anh chưa tên chiếm bảng rồng<
>Lấy đâu xe bóng ngựa hồng vinh qui?<
>Cưới em bằng tấm tình si<
>Đò không chở thí, lấy gì sang sông?<
>Tên em anh khắc bên lòng<
>Bụi hồng vương lấy má hồng thương anh!<
>Vì cha chẳng đoái duyên mình<
>Anh đành sống để chung tình với em!<
>Đêm qua mới thực là đêm<
>Chân cứng đá mềm, Chức Nữ em ơi!<
>Bờ sông bên ấy gieo thoi<
>Sao em chẳng dệt một lời thơ anh?<
>Tơ trời mấy sợi mong manh<
>Biết anh có dệt nên hình gì không?<
>Một bờ sông, hai bờ sông<
>Một lòng! Anh dám hai lòng ở đâu!<
>Bao giờ cho hợp duyên nhau<
>Anh bắc nghìn cầu, Chức Nữ em ơi!",Chức Nữ Ngưu Lang,https://isach.info/poem.php?poem=chuc_nu_nguu_lang__nguyen_binh,bảy chữ,hiện đại,,Nguyễn Bính
"Em ạ! Ngày xưa vua nước Bướm<
>Kén nhân tài, mở Điệp lang khoa.<
>Vua không lấy trạng, vua thề thế<
>Con bướm vàng tuyền đậu Thám hoa.<
>Vua liền gọi gả con gái yêu<
>Nàng đẹp như em, chả nói điêu!<
>Vua nuông hai vợ chồng quan Thám<
>Cho nhởn xem hoa sớm lại chiều.<
>Một hôm hai vợ chồng quan Thám<
>Mê mải xem hoa lạc chốn về<
>Vợ khóc: “Mình ơi em hãi lắm!”<
>Trời chiều lạc lối tới vườn lê.<
>Vườn đầy hoa trắng như em ấy<
>Bỗng một bà Tiên hiển hiện ra<
>Sao mà đẹp thế? Tiên mà lại!<
>Nữ Chúa Vườn Lê đi xem hoa.<
>Bà thấy vợ chồng con Bướm dại<
>Sụt sùi ngồi khóc dưới hoa lê<
>Đến bên âu yếm bà thương hại:<
>“Ý hẳn hai con lạc chốn về!<
>Đây về nước Bướm đường thì xa<
>Về tạm nhà ta ở với ta<
>Có đủ chăn êm, cùng gối ấm<
>Có nhiều bánh ngọt ướp hương hoa”.<
>Đêm ấy chăn êm cùng gối êm<
>Vợ chồng ăn bánh với bà Tiên<
>Ăn xong thoắt chốc liền thay lốt<
>Chồng hoá thành anh, vợ hoá em.",Chuyện Cổ Tích,https://isach.info/poem.php?poem=chuyen_co_tich__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Xê lại gần đây, xích lại gần đây!<
>Lại đây cho mẹ nhủ câu này:<
>Mẹ không muốn thế nhưng mà nghĩ<
>Bấy lâu mẹ đã nhiều đắng cay.<
>Kể con cũng lớn khôn rồi,<
>Chín suối cha con hẳn ngậm cười.<
>Mẹ muốn bước thêm bước nữa,<
>Còn đàn em nhỏ cậy con nuôi.<
>Con ơi! mẹ khóc suốt đêm kia,<
>Khóc suốt đêm qua nữa, chỉ vì...<
>Con mẹ có còn thương mẹ dại<
>Thì con gái mẹ nhận lời đi!<
>Mẹ cũng không mong sướng lấy mình,<
>Nhưng mà số phận bắt điêu linh.<
>Vả chăng thiên hạ nào riêng mẹ,<
>Gái góa qua đò uổng tiết trinh.<
>Mai mốt... con ơi! mẹ lấy chồng,<
>Chúng con coi mẹ có như không.<
>Khuya rồi đấy nhỉ! con đi nghỉ,<
>Gió bấc đêm nay lạnh ngập phòng.",Đi Bước Nữa,https://isach.info/poem.php?poem=di_buoc_nua__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Lòng em như quán bán hàng<
>Dừng chân cho khách qua đàng mà thôi.<
>Lòng anh như mảng bè trôi<
>Chỉ về một bến chỉ xuôi một chiều.<
>Lòng anh như biển sóng cồn<
>Chứa muôn con nước nghìn con sông dài<
>Lòng em như thể lá khoai<
>Đổ bao nhiêu nước ra ngoài bấy nhiêu<
>Lòng anh như hoa hướng dương<
>Trăm nghìn đổ lại một phương mặt trời.<
>Lòng em như cái con thoi<
>Thay bao nhiêu suốt mà thoi vẫn lành!",Em Với Anh,https://isach.info/poem.php?poem=em_voi_anh__nguyen_binh,bảy chữ,hiện đại,,Nguyễn Bính
"Sum họp đôi ta chốc bấy lâu<
>Tình tôi với mợ tưởng cùng nhau<
>Trǎm nǎm đầu bạc duyên còn thắm,<
>Tôi có ngờ đâu đến thế đâu!<
>Liệu tôi không sống đến ngày mai<
>Mợ có thương tôi lấy một vài,<
>Ở lại nuôi con khôn lớn đã<
>Ôm cầm tôi dám tiếc thuyền ai...<
>Mợ còn trẻ lắm, mới hai mươi,<
>Ở vậy sao cho trót một đời?<
>Tang tóc ba nǎm cho phải phép<
>Miễn sao thiên hạ khỏi chê cười.<
>Để con ở lại, chọn ai người<
>Phải lứa vừa đôi mợ sánh đôi.<
>Con mợ, con tôi tôi chả muốn<
>Vào làm con cái của nhà ai.<
>Cũng chẳng hay gì gái chính chuyên,<
>Mợ đừng thề thế, ngộ tôi thiêng...<
>Lẻ loi khôn giữ điều khôn dại,<
>Khôn dại chờ khi lấp ván thiên.<
>Mợ để tôi đi, mợ nín đi!<
>Còn sao được nữa khóc mà chi!<
>Bao nhiêu đau khổ, ngần này tuổi<
>Chết cũng không non yểu nỗi gì!<
>Con nó đâu rồi, bế lại đây<
>Cho tôi nhìn nó một vài giây<
>Trước khi nhắm mắt tôi thừa biết<
>Đời nó sau này hẳn đắng cay...",Giối Giǎng,https://isach.info/poem.php?poem=gioi_ging__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
"Cô em đương độ tuổi xuân tươi<
>Mái tóc đen kia buông quá dài<
>Mỗi độ cô cười hơi hé miệng<
>Mỉm cười vì chửa biết yêu ai<
>Nhưng có hay đâu có một chàng<
>Một chàng thi sĩ ưa mơ màng<
>Nghèo khổ ở trên gian gác vắng<
>Duy giàu được một tấm yêu đương<
>Vì miệng cười kia hóa ngẩn ngơ<
>Yêu cô đem cả tấm lòng thơ<
>Vì cô ca ngợi nhưng mơ mộng<
>Chỉ là mơ mộng, chỉ là mơ...<
>Rồi như sông Nhuệ lạnh lùng trôi<
>Cô lạnh lùng đi chẳng trả lời<
>Những tiếng lòng chàng tha thiết gọi<
>Ở trên gác vắng, lạnh lùng ơi!....",Gửi Cô Oanh,https://isach.info/poem.php?poem=gui_co_oanh__nguyen_binh,lục bát,hiện đại,,Nguyễn Bính
